customer,st,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
QZ44356,Arizona,Female,Bachelor,697953.59,0,94,0,Personal Auto,Four-Door Car,1131
AI49188,Nevada,Female,Bachelor,1288743.17,48767,108,0,Personal Auto,Two-Door Car,566
WW63253,California,Male,Bachelor,764586.18,0,106,0,Corporate Auto,SUV,529
GA49547,Washington,Male,High School or Below,536307.65,36357,68,0,Personal Auto,Four-Door Car,17
OC83172,Oregon,Female,Bachelor,825629.78,62902,69,0,Personal Auto,Two-Door Car,159
XZ87318,Oregon,Female,College,538089.86,55350,67,0,Corporate Auto,Four-Door Car,321
CF85061,Arizona,Male,Master,721610.03,0,101,0,Corporate Auto,Four-Door Car,363
DY87989,Oregon,Male,Bachelor,2412750.4,14072,71,0,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,Female,College,738817.81,28812,93,0,Special Auto,Four-Door Car,425
SX51350,California,Male,College,473899.2,0,67,0,Personal Auto,Four-Door Car,482
QK46697,Washington,Male,Bachelors,617710.93,61040,79,1,Personal Auto,Two-Door Car,20
HS14476,Washington,Male,College,916206.32,29723,80,0,Personal Auto,Four-Door Car,20
HD95276,Washington,Female,College,473787.17,0,130,0,Personal Auto,SUV,23
YD87931,Washington,Male,Doctor,495165.61,46896,35354,1,Personal Auto,Four-Door Car,31
NW21079,Washington,Female,Master,487938.48,67163,61,2,Personal Auto,Two-Door Car,33
YB66933,Washington,Female,Bachelor,538275.2,77552,68,1,Corporate Auto,Four-Door Car,45
OW15518,Washington,Female,College,1595001.95,0,87,1,Personal Auto,Two-Door Car,46
GP39118,Washington,Male,High School or Below,499655.27,71600,63,0,Personal Auto,Two-Door Car,46
SG20925,Washington,Female,Master,518579.76,99428,6464,1,Personal Auto,Four-Door Car,48
FM14335,Washington,Female,College,1048491.54,61108,89,0,Personal Auto,Four-Door Car,49
HS28694,Washington,Female,High School or Below,282986.39,25317,71,0,Personal Auto,Two-Door Car,50
LH92841,Washington,Female,Bachelors,725595.38,88891,89,0,Personal Auto,Four-Door Car,50
AZ95587,Arizona,Female,Bachelor,1038855.32,61222,89,0,Special Auto,Four-Door Car,392
DS81757,Oregon,Male,College,247012.12,0,74,0,Personal Auto,Two-Door Car,721
